,age,job,marital,education,balance,housing,duration,campaign,y_pred
45,35,blue-collar,divorced,primary,300,yes,945,2,yes
46,43,technician,married,secondary,3285,yes,1721,2,yes
47,52,housemaid,married,secondary,3923,yes,942,3,yes
48,53,technician,divorced,primary,1443,yes,476,1,yes
49,48,blue-collar,divorced,primary,24,yes,832,1,yes
50,41,blue-collar,single,primary,1618,yes,1553,1,yes
51,39,management,divorced,tertiary,517,yes,1328,1,yes
52,59,retired,married,secondary,1521,yes,1125,2,yes
53,41,blue-collar,married,secondary,2823,yes,858,1,yes
54,48,blue-collar,married,secondary,1405,yes,629,2,yes
55,40,admin.,married,secondary,1535,yes,704,1,yes
56,48,blue-collar,married,secondary,1596,yes,760,1,yes
57,60,retired,married,primary,1542,yes,930,1,yes
58,40,technician,single,unknown,3652,yes,1028,2,yes
59,57,technician,married,tertiary,-1,no,850,2,yes
60,51,blue-collar,married,secondary,7180,yes,927,1,yes
61,41,blue-collar,divorced,secondary,5291,yes,1423,3,yes
62,41,blue-collar,married,secondary,1384,yes,1162,4,yes
63,52,blue-collar,divorced,primary,-191,yes,755,1,yes
64,59,blue-collar,married,primary,320,yes,695,1,yes
65,44,blue-collar,married,unknown,146,yes,483,1,yes
66,49,unknown,married,primary,341,yes,520,2,yes
67,40,services,married,primary,-9,yes,920,2,yes
68,41,admin.,married,primary,-306,yes,500,1,yes
69,44,technician,married,tertiary,4580,yes,911,2,yes
70,60,services,single,primary,313,yes,920,2,yes
71,29,management,married,tertiary,10576,no,1224,2,yes
72,41,retired,divorced,primary,-233,yes,1156,2,yes
73,41,blue-collar,married,primary,2453,yes,1052,1,yes
74,42,technician,single,secondary,1364,yes,1867,6,yes
75,36,services,single,unknown,281,yes,515,1,yes
76,39,technician,married,tertiary,94,yes,813,1,yes
77,31,self-employed,single,tertiary,144,yes,676,1,yes
78,26,blue-collar,married,secondary,246,yes,1143,3,yes
79,31,blue-collar,married,secondary,92,yes,688,1,yes
80,29,admin.,single,secondary,163,yes,803,1,yes
81,37,services,divorced,secondary,49,yes,619,2,yes
82,33,blue-collar,single,secondary,-416,yes,767,2,yes
83,24,technician,single,secondary,409,yes,912,1,yes
84,50,admin.,divorced,secondary,363,yes,1340,1,yes
85,27,technician,single,tertiary,3706,yes,897,1,yes
86,54,management,single,tertiary,4393,yes,1297,3,yes
87,30,technician,single,secondary,863,yes,1193,5,yes
88,34,blue-collar,married,primary,695,yes,1064,4,yes
89,37,management,single,secondary,792,yes,1187,4,yes
90,41,admin.,single,secondary,1020,yes,882,1,yes
91,47,blue-collar,married,secondary,863,yes,943,2,yes
92,31,admin.,married,secondary,97,yes,607,1,yes
93,31,blue-collar,married,secondary,754,yes,1022,4,yes
94,43,services,divorced,secondary,1040,yes,552,3,yes
95,37,management,divorced,tertiary,122,yes,1622,2,yes
96,30,technician,single,tertiary,880,yes,967,6,yes
97,41,technician,married,secondary,501,yes,579,5,yes
98,36,blue-collar,married,secondary,4438,yes,446,1,no
99,35,blue-collar,divorced,secondary,0,yes,1205,1,yes
100,29,services,single,secondary,271,yes,1882,2,yes
101,35,blue-collar,married,primary,102,yes,1334,1,yes
102,31,blue-collar,married,secondary,2,yes,182,2,no
103,35,services,married,secondary,4170,yes,1777,1,yes
104,34,technician,single,secondary,85,yes,1182,4,yes
105,31,admin.,single,secondary,431,yes,1045,1,yes
106,44,technician,divorced,secondary,982,yes,650,3,yes
107,36,blue-collar,married,primary,408,yes,1063,2,yes
108,35,blue-collar,married,unknown,4822,yes,843,2,yes
109,41,blue-collar,married,primary,1250,yes,1392,2,yes
110,31,blue-collar,single,primary,216,yes,565,1,yes
111,34,blue-collar,married,secondary,1207,yes,905,1,yes
112,32,technician,married,secondary,791,yes,783,2,yes
113,36,management,married,tertiary,849,yes,958,2,yes
114,30,blue-collar,single,secondary,239,yes,412,1,no
115,37,technician,single,secondary,1211,yes,795,1,yes
116,36,blue-collar,married,primary,599,yes,649,2,yes
117,31,management,single,tertiary,825,yes,506,2,yes
118,27,technician,married,secondary,2183,yes,857,1,yes
119,34,retired,married,primary,4499,no,1681,1,yes
120,30,technician,single,tertiary,1289,yes,1697,2,yes
121,32,technician,single,tertiary,4665,yes,860,2,yes
122,37,technician,single,secondary,3326,yes,799,1,yes
123,32,blue-collar,married,secondary,783,yes,923,3,yes
124,33,blue-collar,married,secondary,0,yes,521,3,yes
125,35,blue-collar,married,primary,994,yes,1349,8,yes
126,35,self-employed,divorced,tertiary,1354,yes,736,2,yes
127,30,blue-collar,single,secondary,239,yes,785,1,yes
128,45,blue-collar,divorced,primary,-311,yes,1030,1,yes
129,45,admin.,married,secondary,149,yes,893,3,yes
130,33,blue-collar,married,secondary,1464,yes,588,3,yes
131,44,management,divorced,tertiary,5773,no,597,6,yes
132,40,blue-collar,married,primary,278,yes,1015,3,yes
133,31,blue-collar,married,secondary,2910,yes,1392,2,yes
134,30,technician,married,tertiary,541,yes,414,2,no
135,44,technician,divorced,secondary,1262,yes,788,11,yes
136,34,services,married,secondary,-538,yes,682,1,yes
137,37,blue-collar,married,secondary,125,no,679,2,yes
138,28,self-employed,single,tertiary,0,yes,1560,2,yes
139,32,admin.,single,secondary,620,yes,1234,3,yes
140,37,blue-collar,divorced,secondary,316,yes,642,2,yes
141,34,management,married,tertiary,2287,yes,895,4,yes
142,38,admin.,divorced,secondary,198,yes,431,2,no
143,28,admin.,single,secondary,460,yes,741,6,yes
144,31,management,divorced,tertiary,1145,yes,1272,4,yes
145,59,services,married,secondary,-22,yes,748,3,yes
146,24,blue-collar,married,secondary,685,yes,896,3,yes
147,26,services,single,secondary,901,yes,764,2,yes
148,59,retired,single,secondary,351,yes,1063,5,yes
149,30,entrepreneur,single,primary,0,yes,1051,1,yes
150,37,admin.,married,secondary,274,yes,731,3,yes
151,30,admin.,single,secondary,-213,yes,751,1,yes
152,25,blue-collar,married,secondary,97,yes,709,1,yes
153,44,services,divorced,secondary,51,yes,3094,2,yes
154,29,management,married,tertiary,314,no,938,2,yes
155,26,management,single,tertiary,6840,yes,1560,2,yes
156,26,technician,single,secondary,668,yes,576,3,yes
157,27,services,single,secondary,54,yes,543,2,yes
158,25,self-employed,single,secondary,1242,yes,615,2,yes
159,28,management,married,secondary,292,yes,507,1,yes
160,23,services,single,secondary,665,yes,1183,1,yes
161,34,management,single,tertiary,1058,yes,864,2,yes
162,28,student,single,secondary,949,yes,1730,1,yes
163,51,entrepreneur,married,unknown,606,yes,560,9,yes
164,35,blue-collar,married,secondary,0,yes,543,1,yes
165,35,admin.,married,secondary,404,yes,539,1,yes
166,56,blue-collar,married,secondary,249,yes,791,2,yes
167,45,unemployed,divorced,secondary,3354,yes,746,1,yes
168,60,blue-collar,divorced,secondary,0,yes,1207,1,yes
169,56,technician,married,secondary,589,yes,535,2,yes
170,27,management,single,tertiary,12956,yes,789,3,yes
171,30,admin.,married,secondary,873,yes,792,3,yes
172,45,blue-collar,divorced,primary,594,yes,833,2,yes
173,29,blue-collar,single,secondary,-20,yes,814,2,yes
174,38,management,divorced,tertiary,4692,yes,1363,2,yes
175,30,blue-collar,married,secondary,486,yes,1109,3,yes
176,44,blue-collar,single,primary,1593,yes,828,3,yes
177,36,management,single,tertiary,7606,yes,917,1,yes
178,38,technician,married,secondary,226,yes,762,3,yes
179,36,blue-collar,single,secondary,366,yes,1133,2,yes
180,37,management,divorced,secondary,16,yes,638,1,yes
181,35,management,single,tertiary,565,yes,763,1,yes
182,38,admin.,divorced,secondary,19,yes,604,2,yes
183,40,services,married,primary,1082,yes,854,2,yes
184,42,unemployed,divorced,secondary,1713,yes,855,2,yes
185,46,management,divorced,tertiary,14481,yes,1269,1,yes
186,35,technician,divorced,secondary,5724,yes,691,10,yes
187,34,technician,divorced,secondary,1451,yes,1097,15,yes
188,32,services,married,secondary,-34,yes,1236,2,yes
189,50,unemployed,married,secondary,3674,yes,886,3,yes
190,35,blue-collar,married,secondary,698,yes,1343,3,yes
191,36,technician,single,secondary,4136,yes,812,3,yes
192,53,blue-collar,divorced,primary,2656,yes,1980,2,yes
193,46,management,single,tertiary,2904,yes,984,2,yes
194,26,management,single,tertiary,1004,yes,228,2,yes
195,45,technician,single,secondary,410,yes,891,4,yes
196,31,unemployed,divorced,primary,0,yes,745,12,yes
197,29,management,single,tertiary,0,yes,539,12,yes
198,53,entrepreneur,single,secondary,62,yes,1044,5,yes
199,27,blue-collar,married,primary,416,yes,1193,2,yes
200,39,management,married,tertiary,2763,yes,526,2,yes
201,36,services,married,secondary,2984,yes,394,1,yes
202,41,blue-collar,married,primary,143,yes,659,2,yes
203,36,services,married,primary,0,yes,1036,1,yes
204,32,technician,married,secondary,696,yes,815,1,yes
205,35,services,married,secondary,152,yes,563,1,yes
206,36,management,single,tertiary,-78,yes,1068,1,yes
207,35,management,married,tertiary,867,yes,230,3,no
208,30,blue-collar,single,secondary,953,yes,747,2,yes
209,42,blue-collar,married,secondary,443,yes,671,5,yes
210,42,technician,single,secondary,-1129,yes,555,5,yes
211,32,blue-collar,married,primary,415,yes,777,4,yes
212,29,blue-collar,single,secondary,260,yes,707,14,yes
213,44,management,divorced,tertiary,-411,yes,432,4,no
214,32,technician,single,secondary,1279,yes,1173,3,yes
215,31,unemployed,married,secondary,86,yes,963,2,yes
216,40,self-employed,married,secondary,-754,yes,941,3,yes
217,43,entrepreneur,married,secondary,0,no,1025,7,yes
218,27,management,single,secondary,178,yes,732,2,yes
219,37,services,single,secondary,278,yes,1045,3,yes
220,23,services,single,secondary,425,yes,768,1,yes
221,25,management,married,primary,168,yes,801,1,yes
222,26,blue-collar,single,secondary,-36,yes,482,2,yes
223,47,blue-collar,divorced,primary,126,yes,2456,2,yes
224,35,admin.,married,secondary,-87,yes,1363,7,yes
225,32,technician,single,tertiary,6281,yes,1336,4,yes
226,45,management,divorced,secondary,644,yes,633,1,yes
227,30,admin.,divorced,secondary,377,yes,524,15,yes
228,29,services,single,secondary,-271,yes,578,1,yes
229,38,blue-collar,married,primary,5839,yes,984,2,yes
230,23,blue-collar,single,secondary,492,yes,638,1,yes
231,27,management,single,tertiary,99,yes,767,2,yes
232,27,management,single,tertiary,-713,yes,525,2,yes
233,29,services,single,secondary,32,yes,563,1,yes
234,30,self-employed,married,tertiary,543,yes,1449,6,yes
235,36,blue-collar,married,primary,403,yes,920,1,yes
236,35,admin.,divorced,secondary,437,yes,908,1,yes
237,36,blue-collar,married,secondary,1772,no,208,1,yes
238,59,retired,divorced,primary,-88,yes,910,2,yes
239,47,entrepreneur,married,secondary,0,no,1446,1,yes
240,58,entrepreneur,married,tertiary,853,no,1149,2,yes
241,37,management,single,tertiary,240,no,1123,1,yes
242,46,admin.,single,secondary,849,yes,508,2,yes
243,43,blue-collar,single,secondary,318,yes,736,2,yes
244,27,management,single,tertiary,703,yes,590,3,yes
245,38,services,divorced,secondary,61,no,636,1,yes
246,53,housemaid,married,primary,104,no,701,1,yes
247,47,blue-collar,married,secondary,1996,no,761,2,yes
248,56,housemaid,divorced,primary,1238,no,1558,1,yes
249,41,housemaid,married,secondary,879,no,1053,2,yes
250,29,self-employed,married,secondary,425,yes,562,15,yes
251,50,technician,married,secondary,416,yes,494,5,yes
252,45,blue-collar,divorced,primary,844,no,1018,3,yes
253,35,blue-collar,married,secondary,860,yes,884,4,yes
254,26,technician,single,secondary,639,yes,709,5,yes
255,26,admin.,married,secondary,710,yes,1276,2,yes
256,37,blue-collar,married,unknown,1508,no,381,2,yes
257,30,admin.,single,secondary,223,yes,862,11,yes
258,38,management,single,tertiary,619,yes,460,4,no
259,37,services,divorced,secondary,319,yes,467,3,yes
260,53,technician,married,secondary,480,no,648,2,yes
261,29,blue-collar,single,primary,213,yes,2653,3,yes
262,35,management,single,tertiary,68,no,1085,1,yes
263,28,blue-collar,married,secondary,2788,yes,369,2,no
264,55,blue-collar,married,unknown,7561,no,685,3,yes
265,49,management,divorced,secondary,-46,yes,1055,10,yes
266,50,services,married,secondary,1595,no,882,1,yes
267,43,management,single,tertiary,1046,no,901,1,yes
268,58,self-employed,divorced,tertiary,1382,no,700,1,yes
269,38,technician,married,primary,217,yes,491,6,yes
270,48,blue-collar,divorced,primary,183,no,940,1,yes
271,59,management,married,secondary,1321,no,3881,3,yes
272,58,blue-collar,married,secondary,25,no,486,3,yes
273,36,self-employed,single,tertiary,4844,no,1137,3,yes
274,42,entrepreneur,married,tertiary,5345,no,878,3,yes
275,41,admin.,single,secondary,812,no,583,4,yes
276,42,admin.,married,secondary,105,no,1159,4,yes
277,39,management,married,tertiary,-190,no,893,8,yes
278,57,housemaid,married,primary,625,no,867,1,yes
279,52,retired,married,unknown,293,no,706,1,yes
280,59,retired,married,unknown,1033,no,1199,1,yes
281,56,blue-collar,married,secondary,1210,no,935,1,yes
282,49,management,married,tertiary,64,no,586,1,yes
283,35,blue-collar,divorced,unknown,164,no,967,2,yes
284,36,unemployed,married,secondary,1766,no,595,2,yes
285,40,admin.,single,tertiary,1248,no,1290,2,yes
286,55,blue-collar,married,secondary,0,no,614,2,yes
287,58,admin.,married,secondary,826,no,885,1,yes
288,39,self-employed,married,tertiary,2630,no,651,5,yes
289,47,housemaid,single,tertiary,3727,no,993,6,yes
290,40,management,married,secondary,406,yes,577,2,yes
291,35,blue-collar,married,tertiary,2999,no,1141,6,yes
292,48,blue-collar,married,secondary,1000,yes,1268,2,yes
293,48,management,divorced,tertiary,503,no,1243,7,yes
294,24,blue-collar,single,secondary,-203,yes,465,3,yes
295,49,blue-collar,married,primary,361,yes,513,2,yes
296,36,blue-collar,married,secondary,274,yes,686,11,yes
297,52,retired,divorced,tertiary,3687,yes,741,4,yes
298,42,entrepreneur,single,unknown,323,no,617,1,yes
299,36,services,married,secondary,981,no,1093,1,yes
300,36,blue-collar,divorced,secondary,638,yes,1395,2,yes
301,48,unemployed,single,tertiary,3229,no,1089,1,yes
302,51,management,single,secondary,1610,yes,1248,3,yes
303,51,blue-collar,married,secondary,33,no,721,3,yes
304,46,technician,married,secondary,536,yes,750,2,yes
305,37,management,married,tertiary,0,no,637,6,yes
306,36,entrepreneur,married,tertiary,3057,no,2769,4,yes
307,47,management,married,secondary,2892,no,556,1,yes
308,40,technician,divorced,tertiary,0,no,522,1,yes
309,38,student,single,tertiary,3316,no,1345,3,yes
310,40,management,married,secondary,106,no,676,2,yes
311,39,blue-collar,married,primary,2303,yes,775,3,yes
312,60,management,married,tertiary,3301,no,2621,3,yes
313,39,self-employed,single,tertiary,426,no,1029,1,yes
314,51,services,divorced,secondary,9,no,371,2,no
315,27,admin.,married,secondary,-97,yes,1528,2,yes
316,41,management,single,tertiary,11008,no,1540,1,yes
317,42,blue-collar,single,primary,4930,no,973,1,yes
318,41,entrepreneur,married,secondary,707,no,707,1,yes
319,33,technician,married,secondary,4,yes,625,2,yes
320,46,admin.,married,secondary,126,no,1255,1,yes
321,31,blue-collar,married,secondary,671,yes,704,4,yes
322,41,blue-collar,married,primary,219,no,1574,3,yes
323,41,blue-collar,divorced,secondary,3622,no,1135,4,yes
324,55,retired,divorced,secondary,1580,no,1007,1,yes
325,53,technician,married,secondary,1319,no,1318,3,yes
326,55,housemaid,married,primary,2152,no,922,2,yes
327,39,services,married,secondary,2843,yes,585,1,yes
328,40,entrepreneur,married,tertiary,0,no,952,4,yes
329,59,retired,married,primary,1115,no,834,1,yes
330,42,blue-collar,single,secondary,625,no,651,3,yes
331,41,blue-collar,married,primary,246,no,683,3,yes
332,27,blue-collar,married,secondary,61,yes,1012,1,yes
333,25,blue-collar,single,secondary,-191,yes,958,7,yes
334,43,unemployed,married,primary,519,no,973,2,yes
335,44,services,married,secondary,522,no,911,1,yes
336,26,blue-collar,single,secondary,-46,yes,382,7,yes
337,52,retired,married,tertiary,2269,no,1210,1,yes
338,54,services,married,unknown,386,no,838,1,yes
339,56,management,married,tertiary,0,no,422,1,yes
340,57,management,married,tertiary,9103,no,1098,2,yes
341,29,blue-collar,single,secondary,908,yes,1663,1,yes
342,47,technician,married,tertiary,1694,no,560,3,yes
343,57,management,married,tertiary,-92,yes,1617,1,yes
344,40,blue-collar,married,secondary,188,yes,570,2,yes
345,46,services,divorced,secondary,0,no,1023,3,yes
346,43,blue-collar,single,secondary,740,yes,585,2,yes
347,45,management,married,tertiary,655,no,693,3,yes
348,24,management,married,secondary,867,yes,546,10,yes
349,40,blue-collar,married,secondary,1009,yes,1036,5,yes
350,38,services,divorced,unknown,6360,no,1409,2,yes
351,36,unemployed,married,tertiary,4145,no,988,4,yes
352,27,blue-collar,single,secondary,-27,no,498,2,yes
353,26,admin.,single,primary,-122,yes,670,3,yes
354,43,management,married,tertiary,149,yes,662,2,yes
355,25,blue-collar,single,primary,52,yes,528,2,yes
356,27,blue-collar,married,tertiary,335,yes,519,3,yes
357,30,technician,married,tertiary,526,yes,677,3,yes
358,28,admin.,single,secondary,-7,no,3183,2,yes
359,27,blue-collar,married,primary,-413,no,422,6,no
360,32,admin.,divorced,secondary,-241,no,856,2,yes
361,41,blue-collar,single,secondary,75,yes,479,9,yes
362,37,technician,single,tertiary,0,no,1135,2,yes
363,27,technician,single,secondary,158,no,650,2,yes
364,29,services,single,secondary,84,no,587,3,yes
365,33,services,married,secondary,114,no,676,1,yes
366,36,technician,married,primary,0,no,584,1,yes
367,28,blue-collar,single,secondary,-127,yes,1044,3,yes
368,55,blue-collar,married,secondary,49,yes,494,4,yes
369,51,technician,married,secondary,216,no,615,2,yes
370,39,technician,single,secondary,506,yes,718,2,yes
371,42,blue-collar,divorced,primary,213,yes,434,3,no
372,33,services,single,secondary,170,no,782,1,yes
373,36,entrepreneur,divorced,tertiary,776,no,722,3,yes
374,45,technician,married,secondary,879,no,621,2,yes
375,37,self-employed,married,secondary,1633,no,629,2,yes
376,46,unemployed,married,secondary,926,no,385,5,yes
377,32,self-employed,single,tertiary,2559,no,889,1,yes
378,28,technician,single,secondary,909,no,532,1,yes
379,45,admin.,divorced,secondary,-176,no,574,1,yes
380,41,blue-collar,single,secondary,1085,yes,599,1,yes
381,59,blue-collar,divorced,primary,1265,no,849,1,yes
382,47,technician,single,secondary,-239,yes,973,3,yes
383,31,blue-collar,single,secondary,726,no,719,2,yes
384,31,management,single,tertiary,296,no,509,4,yes
385,33,entrepreneur,married,secondary,-627,yes,740,1,yes
386,52,entrepreneur,married,tertiary,-468,no,534,1,yes
387,26,self-employed,single,secondary,551,no,531,1,yes
388,25,technician,single,secondary,0,no,634,1,yes
389,25,blue-collar,married,secondary,101,no,460,3,yes
390,28,blue-collar,single,secondary,517,no,681,1,yes
391,33,entrepreneur,divorced,tertiary,37,no,1082,1,yes
392,45,management,divorced,tertiary,854,no,730,1,yes
393,36,services,married,secondary,30,no,716,5,yes
394,26,blue-collar,single,secondary,81,no,803,2,yes
395,38,technician,married,secondary,0,no,635,1,yes
396,56,blue-collar,single,secondary,663,no,819,3,yes
397,26,admin.,single,secondary,102,no,658,2,yes
398,26,technician,married,secondary,370,no,1061,4,yes
399,25,blue-collar,single,secondary,189,no,687,2,yes
400,26,unemployed,single,secondary,111,no,537,1,yes
401,40,blue-collar,married,primary,665,yes,781,1,yes
402,37,admin.,married,primary,214,yes,645,1,yes
403,43,blue-collar,single,primary,0,no,1242,1,yes
404,41,services,divorced,tertiary,1583,yes,662,1,yes
405,49,blue-collar,married,secondary,0,no,625,1,yes
406,29,admin.,divorced,tertiary,0,no,426,3,yes
407,39,services,divorced,secondary,687,yes,869,1,yes
408,38,management,married,tertiary,327,yes,556,5,yes
409,26,technician,married,secondary,-119,no,359,5,no
410,32,management,married,tertiary,794,yes,1014,1,yes
411,33,blue-collar,married,primary,-191,yes,1290,4,yes
412,31,management,single,tertiary,409,no,564,5,yes
413,49,blue-collar,married,primary,3,no,1439,6,yes
414,27,unemployed,single,primary,9,no,919,2,yes
415,30,blue-collar,single,secondary,155,yes,1426,3,yes
416,35,blue-collar,married,secondary,1330,no,901,1,yes
417,26,blue-collar,single,secondary,-29,yes,998,4,yes
418,45,entrepreneur,married,unknown,3133,yes,804,1,yes
419,34,admin.,married,secondary,-33,yes,961,1,yes
420,28,admin.,single,secondary,-170,no,720,2,yes
421,25,blue-collar,single,secondary,1243,no,1341,7,yes
422,30,blue-collar,single,secondary,1598,yes,634,1,yes
423,30,services,married,secondary,5,no,829,5,yes
424,47,services,married,secondary,367,yes,476,4,yes
425,57,admin.,divorced,secondary,658,no,724,1,yes
426,38,management,married,tertiary,1722,yes,500,1,yes
427,54,technician,married,secondary,-315,no,2029,1,yes
428,25,blue-collar,single,primary,2483,no,1499,3,yes
429,30,blue-collar,married,secondary,0,yes,1399,1,yes
430,26,management,single,tertiary,45,no,1187,3,yes
431,31,student,married,primary,46,yes,487,1,no
432,29,blue-collar,single,secondary,482,no,1097,3,yes
433,49,blue-collar,married,secondary,3728,yes,1060,2,yes
434,60,retired,divorced,secondary,1099,no,764,2,yes
435,60,management,married,tertiary,2222,yes,1120,2,yes
436,29,management,single,tertiary,983,yes,963,2,yes
437,55,management,divorced,secondary,204,yes,1973,2,yes
438,44,admin.,married,secondary,1074,yes,911,2,yes
439,47,technician,married,secondary,3466,yes,853,2,yes
440,35,admin.,married,secondary,-203,yes,1649,2,yes
441,35,entrepreneur,married,secondary,2436,no,1397,3,yes
442,38,technician,married,secondary,976,yes,766,3,yes
443,34,entrepreneur,married,tertiary,146,yes,788,2,yes
444,50,technician,married,secondary,156,no,1130,3,yes
445,43,admin.,married,tertiary,189,yes,1062,4,yes
446,44,admin.,divorced,secondary,163,yes,1669,2,yes
447,51,services,divorced,secondary,242,no,1336,4,yes
448,31,technician,married,secondary,1173,yes,444,3,no
449,39,technician,married,tertiary,0,yes,894,7,yes
450,59,management,married,tertiary,296,no,805,3,yes
451,25,services,single,secondary,333,no,1056,2,yes
452,58,management,married,tertiary,3864,yes,815,4,yes
453,30,entrepreneur,married,primary,2686,yes,808,3,yes
454,34,blue-collar,single,primary,-109,yes,860,4,yes
455,51,services,divorced,secondary,65,no,881,1,yes
456,60,retired,married,secondary,597,no,981,1,yes
457,51,entrepreneur,married,secondary,-799,no,1001,3,yes
458,37,management,divorced,tertiary,1775,no,514,5,yes
459,30,blue-collar,single,primary,0,no,716,3,yes
460,46,entrepreneur,divorced,secondary,-563,no,769,4,yes
461,29,student,single,tertiary,5,no,889,5,yes
462,27,entrepreneur,married,tertiary,139,no,448,5,yes
463,28,management,single,tertiary,0,yes,767,5,yes
464,34,blue-collar,single,secondary,855,yes,578,1,yes
465,29,blue-collar,single,unknown,694,yes,1806,4,yes
466,27,management,single,tertiary,151,yes,496,1,yes
467,26,technician,single,secondary,354,no,586,1,yes
468,36,management,married,tertiary,673,yes,689,1,yes
469,44,blue-collar,married,primary,1265,yes,555,1,yes
470,39,blue-collar,married,tertiary,597,no,686,6,yes
471,30,technician,married,secondary,-393,yes,435,1,no
472,31,unemployed,divorced,tertiary,256,yes,873,2,yes
473,56,blue-collar,married,primary,0,yes,1222,1,yes
474,29,blue-collar,married,secondary,2870,yes,988,1,yes
475,43,blue-collar,married,secondary,184,no,1019,11,yes
476,32,blue-collar,married,secondary,1905,yes,709,2,yes
477,30,admin.,single,secondary,-36,no,561,9,yes
478,40,blue-collar,married,secondary,-839,yes,1018,2,yes
479,42,services,married,secondary,3465,yes,1039,2,yes
480,27,student,married,secondary,119,yes,781,2,yes
481,35,management,married,tertiary,36,no,1656,5,yes
482,35,housemaid,married,primary,113,yes,923,2,yes
483,32,blue-collar,single,secondary,118,yes,1275,1,yes
484,39,technician,married,secondary,251,yes,342,2,no
485,31,blue-collar,divorced,secondary,-277,yes,1008,2,yes
486,26,services,single,secondary,-189,no,538,2,yes
487,42,management,married,tertiary,4,yes,795,1,yes
488,27,services,single,secondary,1820,yes,1027,1,yes
489,33,self-employed,divorced,secondary,1904,yes,1584,2,yes
490,51,blue-collar,married,primary,201,yes,582,2,yes
491,33,admin.,married,secondary,0,yes,1448,7,yes
492,30,technician,single,tertiary,178,no,656,3,yes
493,52,housemaid,married,primary,3798,yes,1208,1,yes
494,42,blue-collar,divorced,primary,301,yes,1175,2,yes
495,31,management,divorced,tertiary,294,yes,536,5,yes
496,27,services,married,secondary,0,yes,991,5,yes
497,44,blue-collar,single,secondary,292,no,1153,4,yes
498,40,entrepreneur,divorced,secondary,2998,yes,623,3,yes
499,46,housemaid,divorced,primary,2084,yes,1081,2,yes
500,32,services,divorced,secondary,454,yes,978,1,yes
501,56,technician,divorced,secondary,179,no,536,1,yes
502,33,blue-collar,married,secondary,661,yes,968,1,yes
503,33,blue-collar,married,secondary,89,yes,278,2,no
504,32,self-employed,married,primary,102,yes,560,1,yes
505,41,blue-collar,divorced,primary,138,yes,640,3,yes
506,31,admin.,single,secondary,622,no,420,1,yes
507,30,admin.,divorced,secondary,10,yes,658,2,yes
508,34,admin.,divorced,secondary,-251,no,641,1,yes
509,43,entrepreneur,married,secondary,104,yes,635,3,yes
510,28,blue-collar,married,secondary,173,no,588,7,yes
511,32,admin.,divorced,secondary,-46,no,1373,4,yes
512,31,blue-collar,divorced,secondary,0,yes,913,4,yes
513,35,entrepreneur,single,tertiary,145,yes,799,2,yes
514,31,management,married,tertiary,325,yes,1139,2,yes
515,25,services,single,secondary,2311,no,1105,2,yes
516,56,retired,divorced,tertiary,158,no,854,1,yes
